name,cohort,position
Anthony Higgins,1861,US Senator[4]: 94
Edward Rowland Sill,1861,"poet, professor at the University of California[11]: 112"
Daniel Henry Chamberlain,1862,Governor of South Carolina[4]: 95
Franklin MacVeagh,1862,US Secretary of the Treasury[3]: 182
Henry Farnum Dimock,1863,"Whitney family attorney, Director of the Yale Corporation"
William Collins Whitney,1863,US Secretary of the Navy[3]: 183 [17]: 1099
Charles Fraser MacLean,1864,New York Supreme Court judge
John William Sterling,1864,"lawyer, co-founder Shearman & Sterling"
John Manning Hall,1866,"lawyer, politician, and railroad executive"
George Chandler Holt,1866,US District Court Judge[21]: 14
Henry Morton Dexter,1867,"clergyman, editor, author[4]: 103"
Albert Elijah Dunning,1867,American theologian and author[18]: 1081
Thomas Hedge,1867,US Representative from Iowa[11]: 123
George Peabody Wetmore,1867,US Senator and Governor of Rhode Island[4]: 104
Chauncey Bunce Brewster,1868,Bishop of the Episcopal Diocese of Connecticut[22]: 7
LeBaron Bradford Colt,1868,US Senator and Circuit Court Judge[23]: 1302
Wilson Shannon Bissell,1869,Postmaster General[24]: 489
William H. Welch,1870,Dean of Johns Hopkins University[25]: 14
Frederick Collin,1871,"judge, mayor of Elmira, New York[26]: 9"
Edwin Forrest Sweet,1871,US Representative from Michigan[27]: 15
Thomas Thacher,1871,lawyer
William Kneeland Townsend,1871,US Appeals Court judge[4]: 111
George Foot Moore,1872,"author, Professor of theology at Harvard University[21]: 31"
Theodore Salisbury Woolsey,1872,"co-founder of the Yale Review, professor of international law[3]: 99"
Eben Alexander,1873,"American scholar, educator, dean and ambassador[4]: 114"
Samuel Oscar Prentice,1873,Chief Justice of the Supreme Court of Connecticut[23]: 1320
Frank Bigelow Tarbell,1873,"classicist, professor of Greek and history at Yale, Harvard, and the University of Chicago[11]: 137"
Almet Francis Jenks,1875,Justice of the New York Supreme Court[23]: 1326
John Patton Jr.,1875,US Senator
Edward Curtis Smith,1875,Governor of Vermont[27]: 22
Walker Blaine,1876,United States Department of State official[11]: 144
Charles Newell Fowler,1876,US Representative from New Jersey[30]: 35
Arthur Twining Hadley,1876,"Yale President 1899–1921[3]: 48, 58, 142"
Roger Sherman Baldwin Foster,1878,lawyer and author[18]: 1018
Tudor Storrs Jenks,1878,author
William Howard Taft,1878,"27th President of the United States, Chief Justice of the United States, Secretary of War[3]: 182"
Edward Baldwin Whitney,1878,New York Supreme Court justice[11]: 150
Lloyd Wheaton Bowers,1879,Solicitor General of the United States[4]: 127
Oliver David Thompson,1879,"lawyer, American football player and manager[23]: 1347"
Ambrose Tighe,1879,member Minnesota House of Representatives[9]: 77
Timothy Lester Woodruff,1879,Lieutenant Governor of New York
Walter Camp,1880,father of American football and exercise proponent[3]: 166 [23]: 1348
Sidney Catlin Partridge,1880,"Bishop of Kyoto, Japan, Bishop of the Episcopal Diocese of West Missouri[33]: 80"
Henry Waters Taft,1880,"lawyer, Cadwalader, Wickersham & Taft[34]: 7"
Edwin Edgerton Aiken,1881,missionary[3]: 196 [35]: 6
Thomas Burr Osborne,1881,"chemist, co-discoverer of Vitamin A[9]: 83–84"
Benjamin Brewster,1882,Bishop of Maine and Missionary Bishop of Western Colorado[22]: 19
William Phelps Eno,1882,"traffic planner called the ""Father of Traffic Safety""[34]: 9"
Robert Campbell,1882,"son of businessman Robert Campbell, Harvard Law 1888."
Elihu Brintnal Frost,1883,"lawyer, president of several early submarine companies[13]: 112"
Eliakim Hastings Moore,1883,"mathematician, namesake of the Moore–Penrose pseudoinverse[37]: 47–8"
Joseph Robinson Parrott,1883,president of the Florida East Coast Railway[11]: 162
Horace Dutton Taft,1883,"educator, founder of the Taft School[38]: 14–15"
Wilbur Franklin Booth,1884,US federal judge[39]: 14
Maxwell Evarts,1884,"member of the Vermont House of Representatives, attorney for E. H. Harriman[3]: 165"
Frank Bosworth Brandegee,1885,US Representative and Senator[23]: 1369
Alfred Cowles Jr.,1886,"lawyer, director Chicago Tribune[40]: 50"
Edward Johnson Phelps,1886,president of Northern Trust Safe Deposit Company[40]: 53
Clinton Larue Hare,1887,"lawyer, college football coach"
George Griswold Haven Jr.,1887,businessman[13]: 126
Oliver Gould Jennings,1887,"financier, member of Connecticut House of Representatives[42]: 42"
William Kent,1887,United States Congressman for California[43]: 107
Irving Fisher,1888,economist and eugenicist[44]: 14
Richard Melancthon Hurd,1888,real estate executive[22]: 36–37
Amos Alonzo Stagg,1888,college football Hall of Fame coach[3]: 126
Charles Otis Gill,1888,"clergyman, author, college football coach[11]: 179"
Henry L. Stimson,1888,"Governor-General of the Philippines, US Secretary of War, US Secretary of State[3]: 182"
Gifford Pinchot,1889,First Chief of U.S. Forest Service
George Washington Woodruff,1889,"College Hall of Fame football coach, Acting Secretary of the Interior and Pennsylvania Attorney General[25]: 65"
Thomas F. Bayard Jr.,1890,US Senator[38]: 29
Fairfax Harrison,1890,president Southern Railway Company[46]: 56–57
Percy Hamilton Stewart,1890,US Representative from New Jersey[35]: 15
Frederic Collin Walcott,1891,US Senator[47]: 21
