name,years,country,sector,position
Gerardo Broggini,,Switzerland,,
Manlio Brosio,,Italy,,
David K. E. Bruce,,United States,,
Eugenio Cefis,,Italy,,
Emilio Collado,,United States,,
Donald C. Cook,,United States,,
John James Deutsch,,Canada,,
Hedley Donovan,,United States,,
Nejat Eczacıbaşı,,Turkey,,
"Prince Philip, Duke of Edinburgh",,United Kingdom,,
Otmar Emminger,,West Germany,,
Reay Geddes,,United Kingdom,,
Anthony Griffin,,Canada,,
Henry J. Heinz II,,United States,,
Paul Huvelin,,France,,
Harald Knudtzo,,Denmark,,
Hans de Koster,,Netherlands,,
Ugo La Malfa,,Italy,,
Jean Lecanuet,,France,,
Emiel van Lennep,,Netherlands,,
John Lindsay,,United States,,
John H. Loudon,,Netherlands,,
Joseph Luns,,Netherlands,,
Robert Marjolin,,France,,
Reginald Maudling,,United Kingdom,,
Neil McKinnon,,Canada,,
Johan A. Melander,,Norway,,
Lord Mountbatten of Burma,,United Kingdom,,
Ivar Norgaard,,Denmark,,
Johan Nykopp,,Finland,,
Olof Palme,,Sweden,,
Mario Pedini,,Italy,,
James A. Perkins,,United States,,
Howard Petersen,,United States,,
Giuseppe Petrilli,,Italy,,
Panayotis Pipinelis,,Greece,,
Leopoldo Pirelli,,Italy,,
Hugo Portisch,,Austria,,
Eberhard Reinhardt,,Switzerland,,
James Reston,,United States,,
Henry Reuss,,United States,,
Robert V. Roosa,,United States,,
Mariano Rumor,,Italy,,
Ivo Samkalden,,Netherlands,,
Paul A. Samuelson,,United States,,
Maurice Sauve,,Canada,,
Karl Schiller,,West Germany,,
Adolph W. Schmidt,,United States,,
Pierre-Paul Schweitzer,,France,,
Baron Snoy et dOppuers,,Belgium,,
Shepard Stone,,United States,,
Dick Taverne,,United Kingdom,,
Paolo Vittorelli,,Italy,,
Siegmund Warburg,,United Kingdom,,
Princess Beatrix,,Netherlands,,
A. Egbert van Braam Houckgeest,,Netherlands,,
Marchese Jean Gaspare Cittadini Cesi,,Italy,,
Vittorino Chiusano,,Italy,,
Bertie le Roy,,Netherlands,,
Edwin Vernede,,Netherlands,,
Piero Bassetti,,Italy,,
David E. Bell,,United States,,
Kurt Birrenbach,,West Germany,,
Zbigniew Brzezinski,,United States,,
Alastair Buchan,,United Kingdom,,
Marcel Cadieux,,Canada,,
Andrew Cohen,,United Kingdom,,
Emilio G. Collado,,United States,,
Auguste Cool,,Belgium,,
