name,years,country,sector,position
Hubert Burda,2007[37],DeutschlandDeutschland,Medien,"Verleger, geschäftsführender Gesellschafter derHubert Burda Media Holding"
Mathias Döpfner,"2007,[36]2014,[33]2015,[20]2016, 2023[8]",DeutschlandDeutschland,Medien,Vorstandsvorsitzender derAxel Springer AG
Josef Joffe,2006,DeutschlandDeutschland,Medien,"ChefredakteurderZeitvon 2001 bis 2004, derenMitherausgeberbis 2022."
Matthias Naß,"2007,[37]2008,[2]2009,[3]2011,[28]2012[13]",DeutschlandDeutschland,Medien,"StellvertretenderChefredakteurderZeitbis 2010, seit 2011 ihr internationaler Korrespondent[38]"
Theo Sommer[39],unbekannt,DeutschlandDeutschland,Medien,"Chefredakteur(1973–1992), Herausgeber (1992–2000) derZeit"
Christoph Bertram,"1978,[40]1979,[41]1980,[42]1981,[43]1982,[44]1984,[45]1987,[46]1990,[47]1991,[48]1992,[49]1993,[50]1994,[51]1995,[52]1996,[53]1998[54]","DeutschlandDeutschland(1984, 1987, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1998),Vereinigtes KonigreichVereinigtes Königreich(1978),~NiemandslandInternational(1979, 1980, 1981, 1982)",Medien,Politischer Kommentator „Die Zeit“; Ehem. Leiter desInternational Institute for Strategic Studies(IISS); Ehem. Leiter der Stiftung Wissenschaft und Politik;
Wolfgang Schmidt,2023[8],DeutschlandDeutschland,Politik,Chef des Bundeskanzleramtesseit dem 8. Dezember 2021
Anton Hofreiter,2023[8],DeutschlandDeutschland,Politik,Vorsitzender desAusschusses für die Angelegenheiten der Europäischen Unionseit 2021
Julia Klöckner,2025[55],DeutschlandDeutschland,Politik,Präsidentin des Deutschen Bundestages
Katherina Reiche,2025[55],DeutschlandDeutschland,Politik,Bundesministerin für Wirtschaft und Energie
Matti Vanhanen,2009[3],FinnlandFinnland,Politik,finnischer Ministerpräsident und Vorsitzender derfinnischen Zentrumsparteiseit 2003
Antti Blåfield,2010[4],FinnlandFinnland,Medien,Journalist desHelsingin Sanomat
Jean-Claude Trichet,2009[3],FrankreichFrankreich,Politik,Finanzexperte und 2003–2011 Präsident derEuropäischen Zentralbank(EZB)
Christine Lagarde,"2013,[5]2014[33]",FrankreichFrankreich,Politik,Geschäftsführende Direktorin desInternationalen Währungsfonds(IWF)
François Fillon,2013[56],FrankreichFrankreich,Politik,Früherer Premierminister
Emmanuel Macron,2014[57],FrankreichFrankreich,Politik,Staatspräsident Frankreichs
Giorgos Papakonstantinou,2010[4],GriechenlandGriechenland,Politik,"Finanzminister von Griechenland 2009 bis 2011, von 2011 bis 2012 Umweltminister"
Mario Monti,2013[5],ItalienItalien,Politik,ehemaligeritalienischer Ministerpräsident
Romano Prodi,2010[4],ItalienItalien,Politik,"italienischer Ministerpräsident(PD) von 1996 bis 1998 und von 2006 bis 2008,Präsident der Europäischen Kommissionvon September 1999 bis November 2004"
Franco Bernabè,"2010,[4]2013[5]",ItalienItalien,Wirtschaft,CEOTelecom Italia
Pietro Parolin,2018[58][59],VatikanstadtVatikanstadt,Kirche,"Cardinal and Secretary of State, Vatikan"
Prinz Bernhard,1954–1975[16],NiederlandeNiederlande,Adel,"Initiator der Konferenz. Prinzgemahl vonJuliana von Oranien-Nassau, Königin der Niederlande."
Prinzessin Beatrix,"2007,[36]2009,[3]2010,[4]2012,[13]2013,[5]2014[33]",NiederlandeNiederlande,Adel,EhemaligeKöniginderNiederlandevon 1980 bis 2013.
Frits Bolkestein,2002[12],NiederlandeNiederlande,Politik,EU-Kommissar
Neelie Kroes,"2009,[3]2010,[4]2012[13]",NiederlandeNiederlande,Politik,Politikerin der liberalenVVD;EU-Wettbewerbskommissarinvon 2004 bis 2010 undKommissarin für Digitale Agendaseit 2010
Jaap de Hoop Scheffer,"2005,[23]2009[3]",NiederlandeNiederlande,Politik,NATO-Generalsekretärvon 2004 bis Juli 2009
Victor Halberstadt,"2008,[2]2009,[3]2010,[4]2013,[5]2014[33]",NiederlandeNiederlande,Hochschulen,"Professor am Lehrstuhl für Ökonomie an derUniversität Leiden, früherer Vorsitzender der Bilderberg-Konferenzen"
Jeroen Dijsselbloem,2015[20],NiederlandeNiederlande,Politik,Minister für Finanzen und Vorsitzender derEurogruppe
Paul Achleitner,2015–2017[60],OsterreichÖsterreich,Wirtschaft,Aufsichtsratsvorsitzender derDeutschen Bank
Heinz Fischer,"2010,[4]2015[20]",OsterreichÖsterreich,Politik,"Politiker(SPÖ),Jurist; von 2004 bis 2016österreichischer Bundespräsident."
Werner Faymann,"2009,[3]2011,[61]2012[13]",OsterreichÖsterreich,Politik,österreichischer Bundeskanzlerund Bundesparteivorsitzender derSPÖbis 2016
Peter Jankowitsch,unbekannt[62],OsterreichÖsterreich,Politik,Diplomat und von 1986 bis 1987 Außenminister (SPÖ)
Hans-Peter Haselsteiner,unbekannt[63],OsterreichÖsterreich,Wirtschaft,"Bauunternehmer (STRABAG), Mitbegründer und Anteilseigner derWestbahnsowie größter Finanzier der Partei „NEOS“"
Franz Vranitzky,unbekannt[62],OsterreichÖsterreich,Politik,Bundeskanzler von 1988 bis 1997 (SPÖ)
Martin Bartenstein,2007[64],OsterreichÖsterreich,Politik,Wirtschaftsminister von 2000 bis 2008 (ÖVP)
Andreas Schieder,2013[5],OsterreichÖsterreich,Politik,Staatssekretär von 2008 bis 2013 im Bundesministerium für Finanzen (SPÖ)
Alfred Gusenbauer,"2002,[12]2007,[64]2015[20]",OsterreichÖsterreich,Politik,Bundeskanzler von Österreich von 2007 bis 2008 (SPÖ)
Pamela Rendi-Wagner,"2018,[65]2024[66]",OsterreichÖsterreich,Politik,"Ab dem 9. November 2017 Abgeordnete zum österreichischen Nationalrat, ab dem 8. Oktober 2018 auch Klubobfrau. (SPÖ)"
Oscar Bronner,"2009.[3]2010,[4]2011,[61]2012,[13]2013,[5]2014,[33]2015[20]",OsterreichÖsterreich,Medien,Gründer undHerausgeberder österreichischenTageszeitungDer Standard.
Andreas Treichl,2010[67],OsterreichÖsterreich,Wirtschaft,Generaldirektor derErste Bank
Erich Hampel,2015[20],OsterreichÖsterreich,Wirtschaft,Aufsichtsratsvorsitzenderder UniCreditBank AustriaAG
Willibald Cernko,2012[13],OsterreichÖsterreich,Wirtschaft,Vorstandsvorsitzenderder UniCreditBank AustriaAG seit 2009
Karl Sevelda,2015[20],OsterreichÖsterreich,Wirtschaft,VorstandsvorsitzenderderRaiffeisen Bank InternationalAG
Rudolf Scholten,"2011,[68]2012,[13]2013,[5]2014,[33]2015[20]",OsterreichÖsterreich,Wirtschaft,Vorstandsmitglied derOesterreichischen Kontrollbank AG (OeKB)
Walter Rothensteiner,2011[68],OsterreichÖsterreich,Wirtschaft,Generaldirektor derRaiffeisen Zentralbank
Hannes Androsch,unbekannt[62],OsterreichÖsterreich,Wirtschaft,Unternehmer und Ex-Finanzminister (SPÖ)
Wolfgang Hesoun,2015[20],OsterreichÖsterreich,Wirtschaft,"CEOSiemens AG, Österreich"
Gerhard Roiss,2015[20],OsterreichÖsterreich,Wirtschaft,CEOOMVÖsterreich
René Benko,"2015,[20]2017[69]",OsterreichÖsterreich,Wirtschaft,Gründer derSigna HoldingGmbH
Gerhard Zeiler,"2017,[26]2018[70]",OsterreichÖsterreich,Medien,"President, Turner International,Turner Broadcasting System International"
Andrea Mayer,2018[71],OsterreichÖsterreich,Politik,"vorm. Andrea Ecker, Staatssekretärin im Bundesministerium für Kunst, Kultur, Öffentlicher Dienst und Sport; ehem. Kabinettschefin in der Präsidentschaftskanzlei von Alexander Van der Bellen"
Francisco Pinto Balsemão,"2010,[4]2013,[5]2014[33]",PortugalPortugal,Medien,"Vorsitzender und CEO vonIMPRESA, Vorsitzender der LobbyorganisationEuropean Publishers Council, Premierminister 1981–1983"
José Manuel Barroso,"2013,[56]2015,[20]2016",PortugalPortugal,Politik,Ehemaliger Präsident dereuropäischen Kommission
Garri Kasparow,2012[13],RusslandRussland,Politik,Vorsitzender derVereinigten Bürgerfrontund ehemaligerSchachweltmeister
Carl Bildt,"2008,[2]2009,[3]2010,[4]2013,[5]2014[33]",SchwedenSchweden,Politik,MinisterpräsidentvonSchweden1991 bis 1994;Außenministerseit 2006
Urban Bäckström,2010[4],SchwedenSchweden,Wirtschaft,"Direktor und Vorsitzender des schwedischen Wirtschaftsverbands, Ex-Reichsbankchef"
Christoph Blocher,2009,SchweizSchweiz,Politik,Bundesrat von 2003–2007 sowie Unternehmer und Financier
Josef Ackermann,"2008[2]2009,[3]2010,[4]2011,[28]2012,[13]2013,[5]2014[33]",SchweizSchweiz,Wirtschaft,VorstandsvorsitzenderderDeutschen Bank AGvon 2006 bis 2012
Peter Brabeck-Letmathe,2011[28],SchweizSchweiz,Wirtschaft,Präsident desVerwaltungsratesvonNestlé S.A.
Pascal Couchepin,2002[12],SchweizSchweiz,Politik,Politiker (FDP); Bundesrat (1998–2009)
Hans Groth,2011[28],SchweizSchweiz,Wirtschaft,damaliger Director Health Care Policy & Market Access des europäischen Zweiges vonPfizer
Barbara Janom Steiner,2011[28],SchweizSchweiz,Politik,"Politikerin (BDP) und damaligeRegierungsrätinim DepartementJustiz, Sicherheit und GesundheitdesKantons Graubünden[72]"
Doris Leuthard,2011[28],SchweizSchweiz,Politik,Politikerin (CVP) undBundespräsidentinim Jahr 2010
Martin Schmid,2011[28],SchweizSchweiz,Politik,Politiker (FDP) und ehemaligerRegierungspräsidentdesKantons Graubünden
Rolf Schweiger,2011[28],SchweizSchweiz,Politik,Politiker (FDP) und damaliges Mitglied imStänderat
Rolf Soiron,2011[28],SchweizSchweiz,Wirtschaft,VerwaltungsratspräsidentvonHolcimundLonza
Daniel Vasella,"2002,[12]2010,[4]2011,[28]2013,[5]2014[33]",SchweizSchweiz,Wirtschaft,"Verwaltungsratspräsident derNovartis AG(1999–2013), Vorsitzender der Geschäftsleitung (1996–2010)"
Peter Voser,"2010,[4]2013[5]",SchweizSchweiz,Wirtschaft,"Chief Executive Officer(CEO) vonRoyal Dutch Shellseit 2004,UBS-Verwaltungsrat 2005–2010"
Jürg Witmer,2011[28],SchweizSchweiz,Wirtschaft,VerwaltungsratspräsidentvonGivaudanundClariant
André Kudelski,2016,SchweizSchweiz,Wirtschaft,
Christa Markwalder,2016,SchweizSchweiz,Politik,Nationalratspräsidentinder Schweiz 2015/2016 (FDP); Präsidentin derNeuen Europäischen Bewegung Schweiz(NEBS) von 2006 bis 2014; Juristin bei derZurich Insurance Groupseit 2008
Martin Vetterli,2016,SchweizSchweiz,Wissenschaft,Präsident Forschungsrat desSchweizer Nationalfonds
Beatrice Weder di Mauro,2016,SchweizSchweiz,Wissenschaft,Professorin für internationale Wirtschaftsbeziehungen
Joaquín Almunia,"2008,[2]2010[4]",SpanienSpanien,Politik,Mitglied derEuropäischen Kommissionund seit 2010Kommissar für Wettbewerbseit 2004
César Alierta,2010[4],SpanienSpanien,Wirtschaft,Vorsitzender und CEO vonTelefónica
Ana Patricia Botín,2010[4],SpanienSpanien,Wirtschaft,Vorstandsvorsitzende derBanesto-Bank
Marcus Agius,"2010,[4]2013,[5]2014[33]",Vereinigtes KonigreichVereinigtes Königreich,Wirtschaft,Vorsitzender derBarclays Bank PLC
Tony Blair,1993[73],Vereinigtes KonigreichVereinigtes Königreich,Politik,Premierminister des Vereinigten Königreichs 1997 bis 2007
Margaret Thatcher,1977[16],Vereinigtes KonigreichVereinigtes Königreich,Politik,Premierministerin des Vereinigten Königreichs 1979 bis 1990 Vorsitzende derConservative Partyvon 1975 bis 1990
Ralf Dahrendorf,2002[12],Vereinigtes KonigreichVereinigtes Königreich,Politik,"deutsch-britischer Soziologe, Politiker und Publizist"
Roger Altman,"2010,[4]2013,[5]2014[33]",Vereinigte StaatenVereinigte Staaten,Wirtschaft,Vorsitzender der InvestmentbankEvercore Partners Inc.
Sonia Arrison,2010[4],Vereinigte StaatenVereinigte Staaten,Medien,"Autorin, Senior Fellow desPacific Research Institute"
Bill Clinton,1991[73],Vereinigte StaatenVereinigte Staaten,Politik,Präsident der Vereinigten Staatenvon 1993 bis 2001
Gerald Ford,unbekannt[74],Vereinigte StaatenVereinigte Staaten,Politik,Präsident der Vereinigten Staaten von 1974 bis 1977
Henry Kissinger,"1977,[16]1978,[18]1997,[75]2007,[36]2008,[2]2010,[4]2012,[13]2013,[5]2014,[33]2015,[20]2016,[21]2017[60]",Vereinigte StaatenVereinigte Staaten,Politik,"Politikwissenschaftler; Von 1969 bis 1973Nationaler Sicherheitsberater der Vereinigten Staaten, von 1973 bis 1977US-Außenminister."
Charlie Rose,2012[13],Vereinigte StaatenVereinigte Staaten,Medien,US-amerikanischer Fernsehmoderator und Journalist
Josette Sheeran,"2009,[3]2010[4]",Vereinigte StaatenVereinigte Staaten,Politik,Exekutivdirektorin desWelternährungsprogramms der Vereinten Nationen(WFP - UN World Food Programme) seit 2007
